organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Essex,County Mobile 1,Week 1 Monday,Rivenhall,Beech Road,"Beech Road, Rivenhall",CM8 3PF,,,Monday,09:20,09:50,FREQ=WEEKLY;INTERVAL=3,2019-10-14,,https://libraries.essex.gov.uk//mobile-library-service/rivenhall/beech-road/
Essex,County Mobile 1,Week 1 Tuesday,Kirby Cross,Station Road,"Station Road, Kirby Cross",CO130LU,,,Tuesday,14:35,15:05,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/kirby-cross/station-road/
Essex,County Mobile 1,Week 1 Tuesday,Thorpe Le Soken,Byng Crescent,"Byng Crescent, Thorpe Le Soken",CO160JB,,,Tuesday,15:20,15:50,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/thorpe-le-soken/byng-crescent/
Essex,County Mobile 2,Week 1 Tuesday,Feering,Primary School Community Centre,"Primary School Community Centre, Feering",CO5 9QB,,,Tuesday,09:20,09:50,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/feering/primary-school-community-centre/
Essex,County Mobile 2,Week 1 Tuesday,Messing,Messing Village Stores,"Messing Village Stores, Messing",CO5 9TR,,,Tuesday,10:10,10:40,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/messing/messing-village-stores/
Essex,County Mobile 2,Week 1 Tuesday,Copford,Orchard Close,"Orchard Close, Copford",CO6 1DB,,,Tuesday,11:00,11:30,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/copford/orchard-close/
Essex,County Mobile 2,Week 1 Tuesday,Marks Tey,Leyfield Leyfield,"Leyfield Leyfield, Marks Tey",CO6 1LZ,,,Tuesday,11:40,12:10,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/marks-tey/leyfield/
Essex,County Mobile 2,Week 1 Tuesday,Great Tey,"Greenfield Drive, near Great Tey Village Hall","Greenfield Drive, near Great Tey Village Hall, Great Tey",CO6 1AA,,,Tuesday,12:20,12:50,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/great-tey/greenfield-drive-near-great-tey-village-hall/
Essex,County Mobile 2,Week 1 Tuesday,Chappel,Swan Grove,"Swan Grove, Chappel",CO6 2DU,,,Tuesday,13:45,14:15,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/chappel/swan-grove/
Essex,County Mobile 2,Week 1 Tuesday,Mount Bures,Craigs Lane/Hall Road,"Craigs Lane/Hall Road, Mount Bures",CO8 5AJ,,,Tuesday,14:30,15:00,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/mount-bures/craigs-lanehall-road/
Essex,County Mobile 2,Week 1 Tuesday,Lamarsh,Telephone Kiosk,"Telephone Kiosk, Lamarsh",CO8 5ET,,,Tuesday,15:10,15:40,FREQ=WEEKLY;INTERVAL=3,2019-10-15,,https://libraries.essex.gov.uk//mobile-library-service/lamarsh/telephone-kiosk/
Essex,County Mobile 1,Week 1 Wednesday,Little Totham,The Swan,"The Swan, Little Totham",CM9 8JL,,,Wednesday,09:35,10:05,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/little-totham/the-swan/
Essex,County Mobile 1,Week 1 Wednesday,Tolleshunt Major,The Bell,"The Bell, Tolleshunt Major",CM9 8LL,,,Wednesday,10:10,10:40,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/tolleshunt-major/the-bell/
Essex,County Mobile 1,Week 1 Wednesday,Tolleshunt D'Arcy,Festival Gardens,"Festival Gardens, Tolleshunt D'Arcy",CM9 8TX,,,Wednesday,10:55,11:25,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/tolleshunt-darcy/festival-gardens/
Essex,County Mobile 1,Week 1 Wednesday,Tollesbury,Masonic Hall car park,"Masonic Hall car park, Tollesbury",CM9 8QE,,,Wednesday,11:35,12:05,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/tollesbury/masonic-hall-car-park/
Essex,County Mobile 1,Week 1 Wednesday,Goldhanger,Goldhanger Village Hall,"Goldhanger Village Hall, Goldhanger",CM9 8AY,,,Wednesday,13:10,13:40,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/goldhanger/goldhanger-village-hall/
Essex,County Mobile 1,Week 1 Wednesday,Heybridge Basin,Heybridge Basin Bus Stop,"Heybridge Basin Bus Stop, Heybridge Basin",CM9 4SE,,,Wednesday,14:00,14:30,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/heybridge-basin/heybridge-basin-bus-stop/
Essex,County Mobile 1,Week 1 Wednesday,Heybridge,Plantation Hall,"Plantation Hall, Heybridge",CM9 4AL,,,Wednesday,14:40,15:10,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/heybridge/plantation-hall/
Essex,County Mobile 2,Week 1 Wednesday,Little Chesterford,The Church,"The Church, Little Chesterford",CB101TS,,,Wednesday,10:35,11:05,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/little-chesterford/the-church/
Essex,County Mobile 2,Week 1 Wednesday,Great Chesterford,Jacksons Lane,"Jacksons Lane, Great Chesterford",CB101PU,,,Wednesday,11:10,11:40,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/great-chesterford/jacksons-lane/
Essex,County Mobile 2,Week 1 Wednesday,Catmere End,Catmere End,"Catmere End, Catmere End",CB114XG,,,Wednesday,12:00,12:30,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/catmere-end/catmere-end/
Essex,County Mobile 2,Week 1 Wednesday,Langley Upper Green,Long Ley,"Long Ley, Langley Upper Green",CB114RX,,,Wednesday,13:45,14:15,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/langley-upper-green/long-ley/
Essex,County Mobile 2,Week 1 Wednesday,Duddenhoe End,Duddenhoe End Village Hall,"Duddenhoe End Village Hall, Duddenhoe End",CB114UU,,,Wednesday,14:20,14:50,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/duddenhoe-end/duddenhoe-end-village-hall/
Essex,County Mobile 2,Week 1 Wednesday,Arkesden,Arkesden Post Office,"Arkesden Post Office, Arkesden",CB114EX,,,Wednesday,15:20,15:50,FREQ=WEEKLY;INTERVAL=3,2019-10-16,,https://libraries.essex.gov.uk//mobile-library-service/arkesden/arkesden-post-office/
Essex,County Mobile 1,Week 1 Thursday,Langham,Moor Road,"Moor Road, Langham",CO4 5NP,,,Thursday,09:35,10:05,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/langham/moor-road/
Essex,County Mobile 1,Week 1 Thursday,Boxted,Boxted Village Hall,"Boxted Village Hall, Boxted",CO4 5RE,,,Thursday,10:10,10:40,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/boxted/boxted-village-hall/
Essex,County Mobile 1,Week 1 Thursday,Mile End,Primary School,"Primary School, Mile End",CO4 5LD,,,Thursday,11:05,11:35,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/mile-end/primary-school/
Essex,County Mobile 1,Week 1 Thursday,Great Horkesley,Keelers Way,"Keelers Way, Great Horkesley",CO6 4HR,,,Thursday,11:45,12:15,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/great-horkesley/keelers-way/
Essex,County Mobile 1,Week 1 Thursday,Little Horkesley,The Beehive,"The Beehive, Little Horkesley",CO6 4DH,,,Thursday,12:30,13:00,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/little-horkesley/the-beehive/
Essex,County Mobile 1,Week 1 Thursday,Wormingford,Robletts Way,"Robletts Way, Wormingford",CO6 3AF,,,Thursday,14:25,14:55,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/wormingford/robletts-way/
Essex,County Mobile 1,Week 1 Thursday,West Bergholt,Lexden Road (by scout hut),"Lexden Road (by scout hut), West Bergholt",CO6 3BW,,,Thursday,15:10,15:40,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/west-bergholt/lexden-road-by-scout-hut/
Essex,County Mobile 1,Week 1 Thursday,Fordham,Lucas Avenue,"Lucas Avenue, Fordham",CO6 3NG,,,Thursday,16:15,16:45,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/fordham/lucas-avenue/
Essex,County Mobile 1,Week 1 Thursday,Aldham,Hardings Close,"Hardings Close, Aldham",CO6 3RD,,,Thursday,16:55,17:25,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/aldham/hardings-close/
Essex,County Mobile 2,Week 1 Thursday,Great Bromley,Church Meadow Playgroup,"Church Meadow Playgroup, Great Bromley",CO7 7TR,,,Thursday,09:45,10:15,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/great-bromley/church-meadow-playgroup/
Essex,County Mobile 2,Week 1 Thursday,Frating,Frating Village Hall,"Frating Village Hall, Frating",CO7 7DJ,,,Thursday,10:30,11:00,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/frating/frating-village-hall/
Essex,County Mobile 2,Week 1 Thursday,Elmstead Market,Meadow Close,"Meadow Close, Elmstead Market",CO7 7HR,,,Thursday,11:10,11:40,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/elmstead-market/meadow-close/
Essex,County Mobile 2,Week 1 Thursday,Alresford,Alresford Village Hall,"Alresford Village Hall, Alresford",CO7 8AT,,,Thursday,11:55,12:25,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/alresford/alresford-village-hall/
Essex,County Mobile 2,Week 1 Thursday,Thorrington,Hazel Close,"Hazel Close, Thorrington",CO7 8HJ,,,Thursday,13:20,13:50,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/thorrington/hazel-close/
Essex,County Mobile 2,Week 1 Thursday,Great Bentley,Larkfield Road,"Larkfield Road, Great Bentley",CO7 8PX,,,Thursday,14:00,14:30,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/great-bentley/larkfield-road/
Essex,County Mobile 2,Week 1 Thursday,Aingers Green,Crossroads Triangle,"Crossroads Triangle, Aingers Green",CO7 8NR,,,Thursday,14:45,15:15,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/aingers-green/crossroads-triangle/
Essex,County Mobile 2,Week 1 Thursday,Weeley,Thornberry Avenue,"Thornberry Avenue, Weeley",CO169HN,,,Thursday,15:40,16:10,FREQ=WEEKLY;INTERVAL=3,2019-10-17,,https://libraries.essex.gov.uk//mobile-library-service/weeley/thornberry-avenue/
Essex,County Mobile 1,Week 1 Friday,Dedham,The Square,"The Square, Dedham",CO7 6AA,,,Friday,09:40,10:10,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/dedham/the-square/
Essex,County Mobile 1,Week 1 Friday,Ardleigh,St Marys School,"St Marys School, Ardleigh",CO7 7NS,,,Friday,10:25,10:55,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/ardleigh/st-marys-school/
Essex,County Mobile 1,Week 1 Friday,Colchester,Severalls Lane Caravan Park,"Severalls Lane Caravan Park, Colchester",CO4 5YZ,,,Friday,11:20,11:50,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/colchester/severalls-lane-caravan-park/
Essex,County Mobile 1,Week 1 Friday,Highwoods,Highwoods Community Centre,"Highwoods Community Centre, Highwoods",CO4 9SR,,,Friday,12:00,12:30,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/highwoods/highwoods-community-centre/
Essex,County Mobile 1,Week 1 Friday,Colchester,St John's Church,"St John's Church, Colchester",CO4 0HP,,,Friday,13:25,13:55,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/colchester/st-johns-church/
Essex,County Mobile 1,Week 1 Friday,Broadlands,Ripple Way,"Ripple Way, Broadlands",CO4 0AW,,,Friday,14:05,14:35,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/broadlands/ripple-way/
Essex,County Mobile 1,Week 1 Friday,Colchester,Colchester Bright Lives,"Colchester Bright Lives, Colchester",CO2 8SZ,,,Friday,15:00,15:30,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/colchester/colchester-bright-lives/
Essex,County Mobile 1,Week 1 Friday,Colchester,Cheveling Road,"Cheveling Road, Colchester",CO2 8DL,,,Friday,15:40,16:10,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/colchester/cheveling-road/
Essex,County Mobile 2,Week 1 Friday,Battlesbridge,Goose Cottages,"Goose Cottages, Battlesbridge",SS118TB,,,Friday,09:40,10:10,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/battlesbridge/goose-cottages/
Essex,County Mobile 2,Week 1 Friday,Ashingdon,Wedgwood Way,"Wedgwood Way, Ashingdon",SS4 3EG,,,Friday,10:50,11:20,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/ashingdon/wedgwood-way/
Essex,County Mobile 2,Week 1 Friday,Canewdon,The Anchor,"The Anchor, Canewdon",SS4 3QA,,,Friday,11:35,12:05,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/canewdon/the-anchor/
Essex,County Mobile 2,Week 1 Friday,Paglesham,"The Plough and Sail, East End","The Plough and Sail, East End, Paglesham",SS4 2EQ,,,Friday,12:15,12:45,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/paglesham/the-plough-and-sail-east-end/
Essex,County Mobile 2,Week 1 Friday,Paglesham,"The Punchbowl, Church End","The Punchbowl, Church End, Paglesham",SS4 2DP,,,Friday,13:40,14:10,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/paglesham/the-punchbowl-church-end/
Essex,County Mobile 2,Week 1 Friday,Barling Magna,Barling School,"Barling School, Barling Magna",SS3 0LP,,,Friday,14:25,14:55,FREQ=WEEKLY;INTERVAL=3,2019-10-18,,https://libraries.essex.gov.uk//mobile-library-service/barling-magna/barling-school/
Essex,County Mobile 2,Week 1 Saturday,Gosfield,Nuns Meadow,"Nuns Meadow, Gosfield",CO9 1UB,,,Saturday,09:45,10:15,FREQ=WEEKLY;INTERVAL=3,2019-10-19,,https://libraries.essex.gov.uk//mobile-library-service/gosfield/nuns-meadow/
Essex,County Mobile 2,Week 1 Saturday,Blackmore End,Syers Field,"Syers Field, Blackmore End",CM7 4DE,,,Saturday,10:35,11:05,FREQ=WEEKLY;INTERVAL=3,2019-10-19,,https://libraries.essex.gov.uk//mobile-library-service/blackmore-end/syers-field/
Essex,County Mobile 2,Week 1 Saturday,Wethersfield,High Street,"High Street, Wethersfield",CM7 4BS,,,Saturday,11:20,11:50,FREQ=WEEKLY;INTERVAL=3,2019-10-19,,https://libraries.essex.gov.uk//mobile-library-service/wethersfield/high-street/
Essex,County Mobile 2,Week 1 Saturday,Shalford,Barryfields,"Barryfields, Shalford",CM7 5HJ,,,Saturday,12:00,12:30,FREQ=WEEKLY;INTERVAL=3,2019-10-19,,https://libraries.essex.gov.uk//mobile-library-service/shalford/barryfields/
Essex,County Mobile 2,Week 1 Saturday,Jaspers Green,Telephone Kiosk,"Telephone Kiosk, Jaspers Green",CM7 5AU,,,Saturday,13:30,14:00,FREQ=WEEKLY;INTERVAL=3,2019-10-19,,https://libraries.essex.gov.uk//mobile-library-service/jaspers-green/telephone-kiosk/
Essex,County Mobile 2,Week 1 Saturday,Panfield,Meadow Close,"Meadow Close, Panfield",CM7 5AE,,,Saturday,14:05,14:35,FREQ=WEEKLY;INTERVAL=3,2019-10-19,,https://libraries.essex.gov.uk//mobile-library-service/panfield/meadow-close/
Essex,County Mobile 2,Week 1 Saturday,Bocking,Dorewards Avenue,"Dorewards Avenue, Bocking",CM7 5LT,,,Saturday,14:55,15:25,FREQ=WEEKLY;INTERVAL=3,2019-10-19,,https://libraries.essex.gov.uk//mobile-library-service/bocking/dorewards-avenue/
Essex,County Mobile 2,Week 2 Monday,Little Bentley,Bricklayers Arms,"Bricklayers Arms, Little Bentley",CO7 8SL,,,Monday,09:50,10:20,FREQ=WEEKLY;INTERVAL=3,2019-10-21,,https://libraries.essex.gov.uk//mobile-library-service/little-bentley/bricklayers-arms/
Essex,County Mobile 2,Week 2 Monday,Tendring,Oaktree Manor,"Oaktree Manor, Tendring",CO160BX,,,Monday,10:50,11:20,FREQ=WEEKLY;INTERVAL=3,2019-10-21,,https://libraries.essex.gov.uk//mobile-library-service/tendring/oaktree-manor/
Essex,County Mobile 2,Week 2 Monday,Beaumont-Cum-Moze,Beaumont Cum Moze Village Hall,"Beaumont Cum Moze Village Hall, Beaumont-Cum-Moze",CO160AS,,,Monday,11:40,12:10,FREQ=WEEKLY;INTERVAL=3,2019-10-21,,https://libraries.essex.gov.uk//mobile-library-service/beaumont-cum-moze/beaumont-cum-moze-village-hall/
Essex,County Mobile 2,Week 2 Monday,Great Oakley,Woodlands,"Woodlands, Great Oakley",CO125BZ,,,Monday,12:20,12:50,FREQ=WEEKLY;INTERVAL=3,2019-10-21,,https://libraries.essex.gov.uk//mobile-library-service/great-oakley/woodlands/
Essex,County Mobile 2,Week 2 Monday,Little Oakley,Oak Ridge,"Oak Ridge, Little Oakley",CO125NL,,,Monday,13:50,14:20,FREQ=WEEKLY;INTERVAL=3,2019-10-21,,https://libraries.essex.gov.uk//mobile-library-service/little-oakley/oak-ridge/
Essex,County Mobile 2,Week 2 Monday,Dovercourt,Dove Crescent,"Dove Crescent, Dovercourt",CO124QY,,,Monday,14:30,15:00,FREQ=WEEKLY;INTERVAL=3,2019-10-21,,https://libraries.essex.gov.uk//mobile-library-service/dovercourt/dove-crescent/
Essex,County Mobile 2,Week 2 Monday,Ramsey,Clayton Road,"Clayton Road, Ramsey",CO124TJ,,,Monday,15:10,15:40,FREQ=WEEKLY;INTERVAL=3,2019-10-21,,https://libraries.essex.gov.uk//mobile-library-service/ramsey/clayton-road/
Essex,County Mobile 2,Week 2 Monday,Ramsey Village,Castle Inn,"Castle Inn, Ramsey Village",CO125HH,,,Monday,15:50,16:20,FREQ=WEEKLY;INTERVAL=3,2019-10-21,,https://libraries.essex.gov.uk//mobile-library-service/ramsey-village/castle-inn/
Essex,County Mobile 1,Week 2 Tuesday,Billericay,Park Lodge,"Park Lodge, Billericay",CM120QH,,,Tuesday,09:50,10:20,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/billericay/park-lodge/
Essex,County Mobile 1,Week 2 Tuesday,Ramsden Bellhouse,Ramsden Bellhouse Village Hall,"Ramsden Bellhouse Village Hall, Ramsden Bellhouse",CM111RN,,,Tuesday,10:45,11:15,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/ramsden-bellhouse/ramsden-bellhouse-village-hall/
Essex,County Mobile 1,Week 2 Tuesday,Ramsden Heath,Ramsden Heath pre-school,"Ramsden Heath pre-school, Ramsden Heath",CM111HX,,,Tuesday,11:25,11:55,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/ramsden-heath/ramsden-heath-pre-school/
Essex,County Mobile 1,Week 2 Tuesday,South Hanningfield,South Hanningfield Village Hall,"South Hanningfield Village Hall, South Hanningfield",CM3 8HT,,,Tuesday,12:25,12:55,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/south-hanningfield/south-hanningfield-village-hall/
Essex,County Mobile 1,Week 2 Tuesday,Rettendon,Salforal Close,"Salforal Close, Rettendon",CM3 8EL,,,Tuesday,13:45,14:15,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/rettendon/salforal-close/
Essex,County Mobile 1,Week 2 Tuesday,East Hanningfield,East Hanningfield Village Hall Car Park,"East Hanningfield Village Hall Car Park, East Hanningfield",CM3 8AE,,,Tuesday,14:25,14:55,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/east-hanningfield/east-hanningfield-village-hall-car-park/
Essex,County Mobile 1,Week 2 Tuesday,Howe Green,Alexander Mews,"Alexander Mews, Howe Green",CM2 7TT,,,Tuesday,15:05,15:35,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/howe-green/alexander-mews/
Essex,County Mobile 1,Week 2 Tuesday,Bicknacre,Priory School car park,"Priory School car park, Bicknacre",CM3 4ES,,,Tuesday,15:45,16:15,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/bicknacre/priory-school-car-park/
Essex,County Mobile 1,Week 2 Tuesday,Little Baddow,Spring Close,"Spring Close, Little Baddow",CM3 4TL,,,Tuesday,16:35,17:05,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/little-baddow/spring-close/
Essex,County Mobile 2,Week 2 Tuesday,Middleton,Box Iron Green,"Box Iron Green, Middleton",CO107LW,,,Tuesday,10:10,10:40,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/middleton/box-iron-green/
Essex,County Mobile 2,Week 2 Tuesday,Bulmer,The Street,"The Street, Bulmer",CO107TD,,,Tuesday,10:55,11:25,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/bulmer/the-street/
Essex,County Mobile 2,Week 2 Tuesday,Belchamp Walter,Crossroads,"Crossroads, Belchamp Walter",CO107AU,,,Tuesday,11:40,12:10,FREQ=WEEKLY;INTERVAL=3,2019-10-22,,https://libraries.essex.gov.uk//mobile-library-service/belchamp-walter/crossroads/
